epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,378.154,1.41682,0.98674,0.02328,0.74169,0.83172,0.83846,0.41544,1.75791,1.1795,0.03868,0.000539275,0.000539275,0.000539275
43,387.376,1.4252,0.98867,0.02362,0.80954,0.92857,0.93043,0.48767,1.71205,0.89649,0.03796,0.000511769,0.000511769,0.000511769
44,394.543,1.39568,0.9925,0.02332,0.79129,0.89286,0.90679,0.48073,1.75101,0.90382,0.03863,0.000484263,0.000484263,0.000484263
45,403.525,1.36831,0.92626,0.02309,0.8851,0.86241,0.91056,0.49526,1.64098,1.04761,0.03591,0.000456758,0.000456758,0.000456758
46,412.148,1.38631,0.91476,0.02282,0.85435,0.82143,0.9169,0.47598,1.63164,0.95543,0.0354,0.000429253,0.000429253,0.000429253
47,420.523,1.41947,0.96675,0.02279,0.94193,0.81761,0.92525,0.47478,1.72851,0.85121,0.03773,0.000401747,0.000401747,0.000401747
48,429.151,1.40245,0.99257,0.02376,0.80253,0.81659,0.88231,0.45744,1.72251,0.93787,0.0381,0.000374242,0.000374242,0.000374242
49,437.036,1.3932,0.95313,0.02365,0.89768,0.84524,0.91588,0.49018,1.70049,0.87832,0.03736,0.000346736,0.000346736,0.000346736
50,446.341,1.3674,0.89608,0.02192,0.93613,0.80741,0.88653,0.48428,1.61919,0.91602,0.03526,0.000319231,0.000319231,0.000319231
51,461.912,1.35919,0.61528,0.03103,0.88026,0.80952,0.87163,0.4463,1.72443,0.97939,0.03861,0.000291725,0.000291725,0.000291725
52,469.453,1.37015,0.70101,0.0313,0.81062,0.8646,0.91731,0.45642,1.69408,1.01308,0.03782,0.00026422,0.00026422,0.00026422
53,478.284,1.39179,0.73883,0.03349,0.8899,0.8664,0.92456,0.47009,1.7744,0.94732,0.03923,0.000236714,0.000236714,0.000236714
54,485.375,1.32578,0.58237,0.03065,0.88584,0.86634,0.90728,0.44788,1.77141,1.00242,0.0389,0.000209209,0.000209209,0.000209209
55,494.311,1.3511,0.63515,0.03094,0.86501,0.81987,0.9111,0.45731,1.71608,0.94823,0.03751,0.000181703,0.000181703,0.000181703
56,501.372,1.33878,0.62191,0.03105,0.79892,0.90553,0.91132,0.46591,1.71324,0.92442,0.03754,0.000154198,0.000154198,0.000154198
57,510.304,1.33086,0.55636,0.03033,0.89565,0.85961,0.94663,0.48103,1.7114,0.90868,0.03759,0.000126692,0.000126692,0.000126692
58,518.396,1.29315,0.56749,0.02879,0.91538,0.86892,0.95292,0.49208,1.69781,0.88714,0.03706,9.91865e-05,9.91865e-05,9.91865e-05
59,527.046,1.30186,0.53702,0.03,0.91457,0.89041,0.95525,0.49073,1.75437,0.79383,0.03832,7.1681e-05,7.1681e-05,7.1681e-05
60,535.173,1.32262,0.57899,0.03032,0.91362,0.86649,0.95575,0.48146,1.75322,0.78891,0.03827,4.41755e-05,4.41755e-05,4.41755e-05
